name,park_name,park_link,sq,park_lat,park_long
Тимирязевский,Парк «Дубки»,"https://ru.wikipedia.org//wiki/%D0%94%D1%83%D0%B1%D0%BA%D0%B8_(%D0%BF%D0%B0%D1%80%D0%BA,_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0)",18,55.82056,37.56639
Ховрино,Грачёвский парк,https://ru.wikipedia.org//wiki/%D0%93%D1%80%D0%B0%D1%87%D1%91%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA,"19,2",55.8658,37.5067
Хорошёвский,Парк «Берёзовая роща»,"https://ru.wikipedia.org//wiki/%D0%91%D0%B5%D1%80%D1%91%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F_%D0%A0%D0%BE%D1%89%D0%B0_(%D0%BF%D0%B0%D1%80%D0%BA,_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0)",31,55.7875,37.515111
Хорошёвский,Чапаевский парк,https://ru.wikipedia.org//wiki/%D0%A7%D0%B0%D0%BF%D0%B0%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA,6,55.8010889,37.5215722
Бибирево,Лианозовский питомник,https://ru.wikipedia.org//wiki/%D0%9B%D0%B8%D0%B0%D0%BD%D0%BE%D0%B7%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B8%D1%82%D0%BE%D0%BC%D0%BD%D0%B8%D0%BA,"121,2",55.9,37.6
Лианозово,Лианозовский лесопарк,https://ru.wikipedia.org//wiki/%D0%9B%D0%B8%D0%B0%D0%BD%D0%BE%D0%B7%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BB%D0%B5%D1%81%D0%BE%D0%BF%D0%B0%D1%80%D0%BA,41,55.90028,37.5625
Лианозово,ПКиО «Лианозово»,https://ru.wikipedia.org//wiki/%D0%9B%D0%B8%D0%B0%D0%BD%D0%BE%D0%B7%D0%BE%D0%B2%D0%BE_(%D0%BF%D0%B0%D1%80%D0%BA_%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D1%83%D1%80%D1%8B_%D0%B8_%D0%BE%D1%82%D0%B4%D1%8B%D1%85%D0%B0),40,55.90028,37.57111
Лосиноостровский,Бабушкинский парк,https://ru.wikipedia.org//wiki/%D0%91%D0%B0%D0%B1%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA,"6,6",55.8675,37.68306
Лосиноостровский,Парк у Джамгаровского пруда,https://ru.wikipedia.org//wiki/%D0%94%D0%B6%D0%B0%D0%BC%D0%B3%D0%B0%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D1%80%D1%83%D0%B4,"47,3",55.889,37.692
Останкинский,Выставка достижений народного хозяйства,https://ru.wikipedia.org//wiki/%D0%92%D1%8B%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0_%D0%B4%D0%BE%D1%81%D1%82%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D0%B9_%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE_%D1%85%D0%BE%D0%B7%D1%8F%D0%B9%D1%81%D1%82%D0%B2%D0%B0,"237,5",55.82452,37.638958
